area_id,ocd_id,name,country,state,city,district_type,parent_area_id
1,ocd-division/country:mx,MÉXICO,MX,,,0,-1,
2,ocd-division/country:mx/state:ag,Gubernatura de AGUASCALIENTES,MX,AGU,,1,-1,
3,ocd-division/country:mx/state:ag/city:1,Presidencia del municipio de AGUASCALIENTES,MX,AGU,AGUASCALIENTES,3,-1,
4,ocd-division/country:mx/state:ag/fed:1,Diputación del Distrito Federal 1 de AGUASCALIENTES,MX,AGU,"ASIENTOS, CALVILLO, COSIO, JESUS MARIA, PABELLON DE ARTEAGA, RINCON DE ROMOS, SAN JOSE DE GRACIA, TEPEZALA, SAN FRANCISCO DE LOS ROMO, EL LLANO",2,-1,
5,ocd-division/country:mx/state:ag/fed:2,Diputación del Distrito Federal 2 de AGUASCALIENTES,MX,AGU,AGUASCALIENTES,2,-1,
6,ocd-division/country:mx/state:ag/fed:3,Diputación del Distrito Federal 3 de AGUASCALIENTES,MX,AGU,AGUASCALIENTES,2,-1,
7,ocd-division/country:mx/state:bc,Gubernatura de BAJA CALIFORNIA,MX,BCN,,1,-1,
8,ocd-division/country:mx/state:bc/city:4,Presidencia del municipio de TIJUANA,MX,BCN,TIJUANA,3,-1,
9,ocd-division/country:mx/state:bc/fed:1,Diputación del Distrito Federal 1 de BAJA CALIFORNIA,MX,BCN,MEXICALI,2,-1,
10,ocd-division/country:mx/state:bc/fed:2,Diputación del Distrito Federal 2 de BAJA CALIFORNIA,MX,BCN,MEXICALI,2,-1,
11,ocd-division/country:mx/state:bc/fed:3,Diputación del Distrito Federal 3 de BAJA CALIFORNIA,MX,BCN,ENSENADA,2,-1,
12,ocd-division/country:mx/state:bc/fed:4,Diputación del Distrito Federal 4 de BAJA CALIFORNIA,MX,BCN,"TECATE, TIJUANA",2,-1,
13,ocd-division/country:mx/state:bc/fed:5,Diputación del Distrito Federal 5 de BAJA CALIFORNIA,MX,BCN,TIJUANA,2,-1,
14,ocd-division/country:mx/state:bc/fed:6,Diputación del Distrito Federal 6 de BAJA CALIFORNIA,MX,BCN,TIJUANA,2,-1,
15,ocd-division/country:mx/state:bc/fed:7,Diputación del Distrito Federal 7 de BAJA CALIFORNIA,MX,BCN,"ENSENADA, MEXICALI, TECATE, PLAYAS DE ROSARITO",2,-1,
16,ocd-division/country:mx/state:bc/fed:8,Diputación del Distrito Federal 8 de BAJA CALIFORNIA,MX,BCN,TIJUANA,2,-1,
17,ocd-division/country:mx/state:bs,Gubernatura de BAJA CALIFORNIA SUR,MX,BCS,,1,-1,
18,ocd-division/country:mx/state:bs/fed:1,Diputación del Distrito Federal 1 de BAJA CALIFORNIA SUR,MX,BCS,"COMONDU, MULEGE, LA PAZ, LORETO",2,-1,
19,ocd-division/country:mx/state:bs/fed:2,Diputación del Distrito Federal 2 de BAJA CALIFORNIA SUR,MX,BCS,"LA PAZ, LOS CABOS",2,-1,
20,ocd-division/country:mx/state:ch,Gubernatura de CHIHUAHUA,MX,CHH,,1,-1,
21,ocd-division/country:mx/state:ch/city:19,Presidencia del municipio de CHIHUAHUA,MX,CHH,CHIHUAHUA,3,-1,
22,ocd-division/country:mx/state:ch/city:37,Presidencia del municipio de CIUDAD JUÁREZ,MX,CHH,CIUDAD JUÁREZ,3,-1,
23,ocd-division/country:mx/state:ch/fed:1,Diputación del Distrito Federal 1 de CHIHUAHUA,MX,CHH,CIUDAD JUÁREZ,2,-1,
24,ocd-division/country:mx/state:ch/fed:2,Diputación del Distrito Federal 2 de CHIHUAHUA,MX,CHH,"AHUMADA, ASCENSION, BUENAVENTURA, CASAS GRANDES, GALEANA, GUADALUPE, IGNACIO ZARAGOZA, JANOS, JUAREZ, NUEVO CASAS GRANDES, PRAXEDIS G. GUERRERO",2,-1,
25,ocd-division/country:mx/state:ch/fed:3,Diputación del Distrito Federal 3 de CHIHUAHUA,MX,CHH,JUAREZ,2,-1,
