chamber_id,name,area_id
1,Presidencia de Colombia,1,
2,Senador de la República de Colombia,2,
,Senador de la República por ser candidato a la Presidencia con segunda mayor votación,3,
4,Senador de la República Curules de Paz,4,
5,Senador de la República Comunidades Indígenas,5,
6,Representante a la Cámara por el departamento de Antioquia,6,
,Representante a la Cámara por ser candidato a Vicepresidente con segunda mayor votación,7,
,Representante a la Cámara Curules de Paz,8,
9,Representante a la Cámara Colombianos en el Exterior,9,
,Representante a la Cámara Raizal,10,
11,Representante a la Cámara Comunidades Afrodescendientes,11,
12,Representante a la Cámara Comunidades Indígenas,12,
13,Representante a la Cámara por el departamento de Amazonas,13,
14,Representante a la Cámara por el departamento de Arauca,14,
15,Representante a la Cámara por el departamento de Atlántico,15,
16,Representante a la Cámara por el departamento de Bolívar,16,
17,Representante a la Cámara por el departamento de Boyacá,17,
18,Representante a la Cámara por el departamento de Caldas,18,
19,Representante a la Cámara por el departamento de Caquetá,19,
20,Representante a la Cámara por el departamento de Casanare,20,
21,Representante a la Cámara por el departamento de Cauca,21,
22,Representante a la Cámara por el departamento de Cesar,22,
23,Representante a la Cámara por el departamento de Chocó,23,
24,Representante a la Cámara por el departamento de Córdoba,24,
25,Representante a la Cámara por el departamento de Cundinamarca,25,
26,Representante a la Cámara por el departamento de Guainía,26,
27,Representante a la Cámara por el departamento de Guaviare,27,
28,Representante a la Cámara por el departamento de Huila,28,
29,Representante a la Cámara por el departamento de La Guajira,29,
30,Representante a la Cámara por el departamento de Magdalena,30,
31,Representante a la Cámara por el departamento de Meta,31,
32,Representante a la Cámara por el departamento de Nariño,32,
33,Representante a la Cámara por el departamento de Norte Santander,33,
34,Representante a la Cámara por el departamento de Putumayo,34,
35,Representante a la Cámara por el departamento de Quindío,35,
36,Representante a la Cámara por el departamento de Risaralda,36,
37,Representante a la Cámara por el departamento de San Andrés y Providencia,37,
38,Representante a la Cámara por el departamento de Santander,38,
39,Representante a la Cámara por el departamento de Sucre,39,
40,Representante a la Cámara por el departamento del Tolima,40,
41,Representante a la Cámara por el departamento del Valle del Cauca,41,
42,Representante a la Cámara por el departamento del Vaupés,42,
43,Representante a la Cámara por el departamento del Vichada,43,
44,Representante a la Cámara por Bogotá,44,
45,Representante a la Cámara curules para las Víctimas,45,
,Vicepresidencia de Colombia,46,
