coalition_id,name,abbreviation,colors
1,Coalición Equipo por Colombia,EC,BLUE',
2,Coalición Centro Esperanza,CCE,GREEN',
3,Pacto Histórico,PH,PURPLE',
4,Coalición Alianza Verde Y Centro Esperanza,AVCE,"GREEN,' 'YELLOW'",
5,Coalición Mira - Colombia Justa Libres,MCJL,"BLUE', 'RED'",
6,Coalición Juntos Por Caldas,JPC,YELLOW',
7,Coalición Mira- Colombia Justa Libres - Salvación Nacional,MCJLSN,"BLUE', 'RED', 'YELLOW'",
8,Coalición Mira-Centro Democrático-Colombia Justa Libres,MCDCJL,"BLUE', 'RED', 'YELLOW', 'LIGH'T 'BLUE'",
9,Coalición Movimiento Salvación Nacional Y Colombia Justa Libres,MSNCJL,"YELLOW,' 'BLUE'",
10,Coalición Pacto Histórico Y Verdes,PHV,"PURPLE,' 'GREEN'",
11,Coalición Partido Cambio Radical Y Partido Político Mira,CRM,"BLUE', 'WHITE', 'RED'",
12,Coalición Partido Conservador Colombiano Y Partido Centro Democrático,CCCD,"BLUE', 'LIGHT BLUE'",
13,Coalición Partido Conservador Colombiano Y Partido De La "U",CCU,"BLUE', 'ORANGE'",
14,Coalición Partido De La U Y Partido Colombia Justa Libres,UCJL,"ORANGE', 'RED'",
15,Coalición Partido Liberal Colombiano - Colombia Justa Libres,PLCJL,"RED', 'ORANGE'",
16,Coalición Partido Liberal Colombiano - Partido Asi,PASI,"RED', 'YELLOW'",
17,Coalición Partido Político Mira- Partido Político Centro Democrático,MCD,"BLUE', 'LIGHT BLUE', 'YELLOW'",
18,Coalición Partidos Cambio Radical - Colombia Justa Libres - Mira - De La U,CRCJLMU,"BLUE', 'RED', 'ORANGE'",
19,Coalicion Partidos Cambio Radical - Colombia Justas Libres - Mira,CRCJLM,"RED', 'BLUE', 'WHITE'",
20,Coalición Partidos Conservador Colombiano - Colombia Justa Libres - Partido Político Mira,CCJLM,"LIGHT BLUE', 'RED'",
21,Coalición Partidos Conservador Colombiano - Colombia Justa Libres - Partido Salvación Nacional,CCCJLCN,"BLUE', 'LIGHT BLUE', 'YELLOW'",
22,Coalición Partidos De La U - Mira - Colombia Justa Libres - Asi,UMCJLASI,"ORANGE', 'BLUE', 'YELLOW'",
23,Coalición Partidos Cambio Radical Y Colombia Justa Libres,CRCJL,"RED', 'YELLOW'",
24,Coalición Partidos  de La U - Mira Y Colombia Justa Libres,UMCJL,"ORANGE', 'YELLOW'",
25,Coalición Partidos de La U. Mira Y Cambio Radical,UMCR,"ORANGE', 'RED', 'BLUE'",
