contest_id,membership_id_winner,title,area_id,start_date,end_date,election_identifier
1,-1,Presidencia de Colombia,1,2022-01-13,2022-03-11,CO-NATIONAL_PRESIDENT-runoff-202,
2,-1,Senador de la República de Colombia,3,2022-01-13,2022-03-11,CO-SENATOR_1-runoff-2022,
,-1,Senador de la República por ser candidato a la Presidencia con segunda mayor votación,2,2022-01-13,2022-03-11,CO-NATIONAL_VICEPRESIDENT-runoff-202,
4,-1,Senador de la República Curules de Paz,4,2022-01-13,2022-03-11,CO-SENATOR_vp-runoff-2022,
5,-1,Senador de la República Comunidades Indígenas,5,2022-01-14,2022-03-12,CO-SENATOR_PEACE-runoff-2022,
6,-1,Representante a la Cámara por el departamento de Antioquia,6,2022-01-15,2022-03-13,CO-SENATOR_IND-runoff-2023,
,-1,Representante a la Cámara por ser candidato a Vicepresidente con segunda mayor votación,7,2022-01-13,2022-03-11,CO-ANT-LEGISLATIVE-runoff-2022,
,-1,Representante a la Cámara Curules de Paz,8,2022-01-13,2022-03-11,CO-VICE_LEGISLATIVE-runoff-2022,
9,-1,Representante a la Cámara Colombianos en el Exterior,9,2022-01-13,2022-03-11,CO-PAZ-REGIONAL-LEGISLATIVE-runoff-2022,
,-1,Representante a la Cámara Raizal,10,2022-01-13,2022-03-11,CO-EXT-REGIONAL-LEGISLATIVE-runoff-2022,
11,-1,Representante a la Cámara Comunidades Afrodescendientes,11,2022-01-13,2022-03-11,CO-RAIZ-REGIONAL-LEGISLATIVE-runoff-2022,
12,-1,Representante a la Cámara Comunidades Indígenas,12,2022-01-13,2022-03-11,CO-AFRO-REGIONAL-LEGISLATIVE-runoff-2022,
13,-1,Representante a la Cámara por el departamento de Amazonas,13,2022-01-13,2022-03-11,CO-IND-REGIONAL-LEGISLATIVE-runoff-2022,
14,-1,Representante a la Cámara por el departamento de Arauca,14,2022-01-13,2022-03-11,CO-AM-REGIONAL-LEGISLATIVE-runoff-2022,
15,-1,Representante a la Cámara por el departamento de Atlántico,15,2022-01-13,2022-03-11,CO-AR-LEGISLATIVE-runoff-2022,
16,-1,Representante a la Cámara por el departamento de Bolívar,16,2022-01-13,2022-03-11,CO-AT-REGIONAL-LEGISLATIVE-runoff-2022,
17,-1,Representante a la Cámara por el departamento de Boyacá,17,2022-01-13,2022-03-11,CO-BO-REGIONAL-LEGISLATIVE-runoff-2022,
18,-1,Representante a la Cámara por el departamento de Caldas,18,2022-01-13,2022-03-11,CO-BY-REGIONAL-LEGISLATIVE-runoff-2022,
19,-1,Representante a la Cámara por el departamento de Caquetá,19,2022-01-13,2022-03-11,CO-CL-REGIONAL-LEGISLATIVE-runoff-2022,
20,-1,Representante a la Cámara por el departamento de Casanare,20,2022-01-13,2022-03-11,CO-CA-REGIONAL-LEGISLATIVE-runoff-2022,
21,-1,Representante a la Cámara por el departamento de Cauca,21,2022-01-13,2022-03-11,CO-CS-REGIONAL-LEGISLATIVE-runoff-2022,
22,-1,Representante a la Cámara por el departamento de Cesar,22,2022-01-13,2022-03-11,CO-CU-REGIONAL-LEGISLATIVE-runoff-2022,
23,-1,Representante a la Cámara por el departamento de Chocó,23,2022-01-13,2022-03-11,CO-CE-REGIONAL-LEGISLATIVE-runoff-2022,
24,-1,Representante a la Cámara por el departamento de Córdoba,24,2022-01-13,2022-03-11,CO-CH-REGIONAL-LEGISLATIVE-runoff-2022,
25,-1,Representante a la Cámara por el departamento de Cundinamarca,25,2022-01-13,2022-03-11,CO-CR-REGIONAL-LEGISLATIVE-runoff-2022,
26,-1,Representante a la Cámara por el departamento de Guainía,26,2022-01-13,2022-03-11,CO-CD-REGIONAL-LEGISLATIVE-runoff-2022,
27,-1,Representante a la Cámara por el departamento de Guaviare,27,2022-01-13,2022-03-11,CO-GU-REGIONAL-LEGISLATIVE-runoff-2022,
28,-1,Representante a la Cámara por el departamento de Huila,28,2022-01-13,2022-03-11,CO-GV-REGIONAL-LEGISLATIVE-runoff-2022,
29,-1,Representante a la Cámara por el departamento de La Guajira,29,2022-01-13,2022-03-11,CO-HL-REGIONAL-LEGISLATIVE-runoff-2022,
30,-1,Representante a la Cámara por el departamento de Magdalena,30,2022-01-13,2022-03-11,CO-LG-REGIONAL-LEGISLATIVE-runoff-2022,
31,-1,Representante a la Cámara por el departamento de Meta,31,2022-01-13,2022-03-11,CO-MG-REGIONAL-LEGISLATIVE-runoff-2022,
32,-1,Representante a la Cámara por el departamento de Nariño,32,2022-01-13,2022-03-11,CO-ME-REGIONAL-LEGISLATIVE-runoff-2022,
33,-1,Representante a la Cámara por el departamento de Norte Santander,33,2022-01-13,2022-03-11,CO-NA-REGIONAL-LEGISLATIVE-runoff-2022,
34,-1,Representante a la Cámara por el departamento de Putumayo,34,2022-01-13,2022-03-11,CO-NS-REGIONAL-LEGISLATIVE-runoff-2022,
35,-1,Representante a la Cámara por el departamento de Quindío,35,2022-01-13,2022-03-11,CO-PU-REGIONAL-LEGISLATIVE-runoff-2022,
36,-1,Representante a la Cámara por el departamento de Risaralda,36,2022-01-13,2022-03-11,CO-QU-REGIONAL-LEGISLATIVE-runoff-2022,
37,-1,Representante a la Cámara por el departamento de San Andrés y Providencia,37,2022-01-13,2022-03-11,CO-RI-REGIONAL-LEGISLATIVE-runoff-2022,
38,-1,Representante a la Cámara por el departamento de Santander,38,2022-01-13,2022-03-11,CO-IS-REGIONAL-LEGISLATIVE-runoff-2022,
39,-1,Representante a la Cámara por el departamento de Sucre,39,2022-01-13,2022-03-11,CO-ST-REGIONAL-LEGISLATIVE-runoff-2022,
40,-1,Representante a la Cámara por el departamento del Tolima,40,2022-01-13,2022-03-11,CO-SU-REGIONAL-LEGISLATIVE-runoff-2022,
41,-1,Representante a la Cámara por el departamento del Valle del Cauca,41,2022-01-13,2022-03-11,CO-TO-REGIONAL-LEGISLATIVE-runoff-2022,
42,-1,Representante a la Cámara por el departamento del Vaupés,42,2022-01-13,2022-03-11,CO-VC-REGIONAL-LEGISLATIVE-runoff-2022,
43,-1,Representante a la Cámara por el departamento del Vichada,43,2022-01-13,2022-03-11,CO-VP-REGIONAL-LEGISLATIVE-runoff-2022,
44,-1,Representante a la Cámara por Bogotá,44,2022-01-13,2022-03-11,CO-VI-REGIONAL-LEGISLATIVE-runoff-2022,
45,-1,Representante a la Cámara curules para las Víctimas,45,2022-01-13,2022-03-11,CO-BO-REGIONAL-LEGISLATIVE-runoff-2022,
,-1,Vicepresidencia de Colombia,46,2022-01-13,2022-03-11,CO-VICTIMAS-REGIONAL-LEGISLATIVE-runoff-2022,
