membership_id,person_id,role_id,party_id,coalition_id,contest_id,goes_for_coalition,membership_type,goes_for_reelection,start_date,end_date,is_substitute,parent_membership_id,changed_from_substitute,date_changed_from_substitute
1,1,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
2,2,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
3,3,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
4,4,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
5,5,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
6,6,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
7,7,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
8,8,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
9,9,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
10,10,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
11,11,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
12,12,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
13,13,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
14,14,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
15,15,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
16,16,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
17,17,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
18,18,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
19,19,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
20,20,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
21,21,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
22,22,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
23,23,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
24,24,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
25,25,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
26,26,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
27,27,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
28,28,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
29,29,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
30,30,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
31,31,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
32,32,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
33,33,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
34,34,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
35,35,1,1,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
36,36,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
37,37,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
38,38,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
39,39,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
40,40,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
41,41,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
42,42,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
43,43,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
44,44,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
45,45,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
46,46,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
47,47,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
48,48,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
49,49,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
50,50,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
51,51,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
52,52,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
53,53,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
54,54,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
55,55,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
56,56,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
57,57,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
58,58,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
59,59,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
60,60,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
61,61,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
62,62,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
63,63,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
64,64,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
65,65,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
66,66,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
