other_name_id,other_name_type,name,person_id
1,3,El Chaman,12,
2,3,Samy Senador,15,
3,3,Kike Cabrales,182,
4,3,Angelo Gravier Santana,215,
5,3,Tito Díaz,238,
6,3,Johnny Besaile,252,
7,3,Toño,280,
8,3,Manguito,284,
9,3,Alexander Ramirez,321,
10,3,Padre Huérfano,407,
11,3,La dama de hierro,472,
12,3,Mauro,557,
13,3,Paco,565,
14,3,El Tunjo,566,
15,3,Colombonauta,592,
16,3,Mistertanga,619,
17,3,Juanchito Acuña,643,
18,3,Rosita,699,
19,3,Efe Hellman,742,
20,3,Bambú,755,
21,3,Miyu Alarcón,816,
22,3,Rubén Zamora,856,
23,3,Ricardo Humano,877,
24,3,Chiky,1030,
25,3,Guillo,1087,
26,3,Happy Becerra,1091,
27,3,El Nene,1111,
28,3,La reina del porro,1138,
29,3,Titi Burgos,1145,
30,3,El Profe,1206,
31,3,Yamilito,1228,
32,3,Mono Sánchez,1290,
33,3,Yoyo Tovar,1300,
34,3,Peyo,1342,
35,3,Susana Boreal,1389,
36,3,Joche,1440,
37,3,El Mono,1443,
38,3,Turo,1468,
39,3,Menchita,1478,
40,3,Azul Rey,1500,
41,3,Sergio Marín,1658,
42,3,Linitha,1704,
43,3,Profe Diego Rivera,1881,
44,3,LaMorales,1895,
45,3,José Luis Tv yo,1913,
46,3,Profe Gonzáles,1917,
47,3,Profe Olivero Hoyos,1918,
48,3,Masco,1962,
49,3,Chechy,1967,
50,3,El Profe,2109,
51,3,Gabo,2127,
52,3,Chano,2176,
53,3,Chucho Ospina,2178,
54,3,Pipe Chacín,2188,
55,3,La Voz del Sur,2198,
56,3,Zar anticorrupción,2215,
57,3,Chechere,2298,
58,3,Tito Torres,2377,
59,3,Pacho Vidal,2378,
60,3,Pime,2418,
61,3,El Profe,2444,
62,3,Tito Murcia,2450,
63,3,La profe Leyla,2451,
64,3,La Tata Franco,2471,
65,3,Florita Perdomo,2602,
66,3,El papá Noel del Huila,2603,
67,3,Chelito,2636,
68,3,Nacho Suárez,2688,
69,3,Don Panelo,2702,
70,3,Hilary,2705,
71,3,Juanlo,2751,
72,3,Pello Pello,2756,
73,3,El profe,2821,
74,3,LuisMi,2825,
