party_id,name,abbreviation,colors,area_id,coalition_id
1,ALIANZA + VALORES,N/A,Dark Blue',2,-1,
2,ALIANZA AVANZA LA LIBERTAD,N/A,"Blue', 'Black'",6,5,
3,ALIANZA AVANZA LIBERTAD,N/A,"Blue', 'Black'",2,5,
4,ALIANZA CHACO CAMBIA + JUNTOS POR EL CAMBIO,N/A,"Orange', 'Green'",4,2,
5,ALIANZA FITU SAN LUIS,N/A,Red',20,3,
6,ALIANZA FRENTE DE TODOS,N/A,Light Blue',1,1,
7,ALIANZA FRENTE VAMOS CON VOS,N/A,Green',1,4,
8,ALIANZA FUERZA SAN LUIS,N/A,Cyan',20,6,
9,ALIANZA JUNTOS,N/A,,2,2,
10,ALIANZA UNIDOS POR SAN LUIS,N/A,Dark Blue',20,6,
11,ALIANZA VAMOS CON VOS,N/A,Green',8,4,
12,AUTODETERMINACIÓN Y LIBERTAD,N/A,Purple',6,3,
13,CAMBIA JUJUY,N/A,Pink',11,2,
14,CAMBIA MENDOZA - DISTRITO MENDOZA,N/A,Blue',14,2,
15,CAMBIA NEUQUÉN,N/A,Yellow',16,2,
16,CAMBIA SANTA CRUZ,N/A,Yellow',21,2,
17,CHUBUT SOMOS TODOS,N/A,Purple',5,1,
18,COALICION CIVICA - ARI,CC-ARI,Blue',16,2,
19,COMPROMISO FEDERAL,N/A,Cyan',8,1,
20,COMPROMISO FEDERAL - DISTRITO MENDOZA,N/A,Dark Blue',14,1,
21,CORRIENTE DE PENSAMIENTO BONAERENSE,N/A,Yellow',3,6,
22,DEL OBRERO,N/A,Red',15,3,
23,ECO + VAMOS CORRIENTES,N/A,"Lime', 'Yellow'",8,2,
24,ENCUENTRO VECINAL CORDOBA,N/A,"Orange', 'Blue'",7,6,
25,FELICIDAD,N/A,Orange',18,6,
26,FRENTE AMPLIO CATAMARQUEÑO,N/A,Red',3,6,
27,FRENTE AMPLIO POR TUCUMAN,N/A,Blue',25,6,
28,FRENTE AMPLIO PROGRESISTA,N/A,Orange',22,6,
29,FRENTE CIVICO POR SANTIAGO,N/A,"Red', 'Blue'",23,6,
30,FRENTE CONSENSO ISCHIGUALASTO (SAN JUAN),N/A,Dark Blue',19,6,
31,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES UNIDAD-TUC,FITU-T,Red',25,3,
32,FRENTE DE IZQUIERDA Y DE TRABAJADORES,FIT,Red',2,3,
33,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FITU,Red',1,3,
34,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD - DISTRITO MENDOZA,N/A,Red',14,3,
35,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD (SAN JUAN),N/A,Red',19,3,
36,FRENTE DE TODOS,FDT,Light Blue',1,1,
37,FRENTE DE TODOS - DISTRITO MENDOZA,N/A,Light Blue',14,1,
38,FRENTE DE TODOS (SAN JUAN),N/A,Light Blue',19,1,
39,FRENTE DE TODOS (TUC),N/A,Light Blue',25,1,
40,FRENTE DE TODOS PBA,FDT-PBA,Light Blue',2,1,
41,FRENTE JUNTOS POR EL CAMBIO,N/A,Yellow',15,2,
42,FRENTE PATRIOTICO LABORISTA,N/A,Blue',23,6,
43,FRENTE RENOVADOR,FR,Blue',23,1,
44,FRENTE RENOVADOR DE LA CONCORDIA SOCIAL,N/A,"Red', 'Dark Blue'",15,1,
45,FRENTE SI + PRS,N/A,,18,6,
46,FRENTEDEIZQUIERDA,FDI,,5,3,
47,FUERZA REPUBLICANA TUC,N/A,Dark Blue',25,6,
48,HACEMOS POR CORDOBA,N/A,"Red', 'Blue'",7,6,
49,JUNTOS POR EL CAMBIO,JXC,Yellow',1,2,
50,JUNTOS POR EL CAMBIO (SAN JUAN),N/A,Yellow',19,2,
51,JUNTOS POR EL CAMBIO +,N/A,,18,2,
52,JUNTOS POR EL CAMBIO CHUBUT,N/A,Yellow',5,2,
53,JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,N/A,Yellow',24,2,
54,JUNTOS POR EL CAMBIO TUCUMAN,N/A,Yellow',25,2,
55,JUNTOS POR ENTRE RIOS,N/A,Yellow',9,2,
56,JUNTOS POR FORMOSA LIBRE,N/A,Yellow',10,2,
57,JUNTOS SOMOS RIO NEGRO,N/A,Green',17,2,
58,LA LIBERTAD AVANZA,LLA,"Yellow', 'Orange'",7,5,
59,LIBERTAD VALORES Y CAMBIO,N/A,"Light Blue', 'Green'",15,5,
60,MOVIMIENTO AL SOCIALISMO,N/A,Red',1,3,
61,MOVIMIENTO LIBRES DEL SUR,MLS,"Blue', 'Red'",1,1,
62,MOVIMIENTO POPULAR FUEGUINO,MPF,"Blue', 'Orange'",24,6,
63,MOVIMIENTO POPULAR NEUQUINO,MPN,Light Blue',16,6,
64,NUEVA IZQUIERDA,NI,Red',9,3,
65,PARTIDO CONSERVADOR POPULAR,N/A,Dark Blue',9,6,
66,PARTIDO DEL OBRERO,PDO,,4,3,
67,PARTIDO FE,N/A,"Blue', 'Green'",9,6,
68,PARTIDO FEDERAL - DISTRITO MENDOZA,N/A,"Red', 'White'",14,6,
69,PARTIDO FRENTE INTEGRADOR,N/A,"Red', 'Green'",4,6,
70,PARTIDO INDEPENDIENTE DEL CHUBUT,N/A,Blue',5,6,
71,PARTIDO OBRERO,PO,"Red', 'Yellow'",24,3,
72,PARTIDO POR UN SANTIAGO OBRERO,N/A,"Red', 'Yellow'",23,3,
73,PARTIDO PRINCIPIOS Y CONVICCION,N/A,"Light Blue', 'White'",10,6,
74,PARTIDO SOCIALISTA,P.S,Red',1,2,
75,PARTIDO VERDE - DISTRITO MENDOZA,N/A,"Green', 'Yellow'",14,6,
76,PODEMOS,N/A,Cyan',22,6,
77,POLITICAOBRERA,N/A,"Red', 'Yellow'",18,3,
78,PRIMERO SANTA FE,N/A,"Red', 'Blue'",22,6,
79,REPUBLICANOS UNIDOS,N/A,"Purple', 'Orange'",24,6,
80,SOMOS ENERGIA PARA RENOVAR SANTA CRUZ - SER,N/A,Light Blue',21,6,
81,SOMOS FUEGUINOS,N/A,"Blue', 'Yellow'",24,6,
82,SOMOS FUTURO,N/A,"Purple', 'Blue'",22,6,
83,TODOS UNIDOS SAN LUIS,N/A,Green',20,6,
84,UNIDOS POR SALTA,N/A,Light Blue',18,6,
85,UNION CIVICA RADICAL SAN LUIS,UCR,"Blue', 'Red'",20,2,
86,UNION POPULAR FEDERAL,N/A,,7,6,
87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,N/A,"Red', 'Black'",1,6,
88,VAMOS! MENDOCINOS - DISTRITO MENDOZA,N/A,"Red', 'White'",14,6,
89,UCEDE - UNION DEL CENTRO DEMOCRATICO,UCEDE,Dark Blue',13,6,
90,UNIDOS,N/A,Cyan',13,6,
91,VAMOS LA RIOJA - CAMBIA LA RIOJA,N/A,Yellow',13,6,
92,SOBERANIA POPULAR (1),N/A,"Blue', 'Red'",22,6,
