full_name,first_name,last_name,date_birth,gender,dead_or_alive,last_degree_of_studies,contest_id
Marina del Pilar Ávila Olmeda,Marina del Pilar,Ávila Olmeda,1985-09-19,2,True,6,301,
Francisco Alcibiades Garcia Lizardi,Francisco Alcibiades,Garcia Lizardi,1941-12-17,1,True,4,301,
María Guadalupe Jones Garay,María Guadalupe,Jones Garay,1967-09-06,2,True,6,301,
Carlos Atilano Peña,Carlos,Atilano Peña,0001-01-01,1,True,4,301,
Jorge Hank Rhon,Jorge,Hank Rhon,1956-01-28,1,True,4,301,
Victoria Bentley Duarte,Victoria,Bentley Duarte,1968-06-01,2,True,4,301,
Jorge Francisco Ojeda García,Jorge Francisco,Ojeda García,0001-01-01,1,True,-1,301,
Víctor Manuel Castro Cosío,Víctor Manuel,Castro Cosío,1955-06-14,1,True,4,302,
Francisco Pelayo Covarrubias,Francisco,Pelayo Covarrubias,1969-11-08,1,True,4,302,
Jesús Armida Castro Guzmán,Jesús Armida,Castro Guzmán,1972-03-06,2,True,4,302,
Andrea Marcela Geiger Villalpando,Andrea Marcela,Geiger Villalpando,0001-01-01,2,True,7,302,
Gabriel Andrade Leyva,Gabriel,Andrade Leyva,0001-01-01,1,True,6,302,
Alejandro Javier Lage Suárez,Alejandro Javier,Lage Suárez,0001-01-01,1,True,5,302,
Adonai Carreón Estrada,Adonai,Carreón Estrada,0001-01-01,1,True,7,302,
Manuel Dersdepanian Skotinopulos,Manuel,Dersdepanian Skotinopulos,0001-01-01,1,True,-1,302,
Elizabeth Wayas Barroso,Elizabeth,Wayas Barroso,0001-01-01,2,True,-1,302,
Christian Mishel Castro Bello,Christian Mishel,Castro Bello,0001-01-01,1,True,4,303,
Layda Elena Sansores San Román,Layda Elena,Sansores San Román,1945-08-07,2,True,6,303,
Eliseo Fernández Montufar,Eliseo,Fernández Montufar,0001-01-01,1,True,6,303,
Sandra Guadalupe Sánchez Díaz,Sandra Guadalupe,Sánchez Díaz,0001-01-01,2,True,-1,303,
Luis Alonso García Hernández,Luis Alonso,García Hernández,0001-01-01,1,True,2,303,
Nicthe-Ha Aguilera Silva,Nicthe-Ha,Aguilera Silva,0001-01-01,2,True,-1,303,
María Magdalena Cocom Arbez,María Magdalena,Cocom Arbez,0001-01-01,2,True,-1,303,
Brenda Francisca Ríos Prieto,Brenda Francisca,Ríos Prieto,0001-01-01,2,True,5,304,
María Eugenia Campos Galván,María Eugenia,Campos Galván,1975-09-11,2,True,6,304,
Luis Carlos Arrieta Lavenant,Luis Carlos,Arrieta Lavenant,1962-11-16,1,True,4,304,
María Eugenia Baeza García,María Eugenia,Baeza García,0001-01-01,2,True,4,304,
Alejandro Diaz Villalobos,Alejandro,Diaz Villalobos,1970-08-03,1,True,5,304,
Graciela Ortiz González,Graciela,Ortiz González,1954-11-29,2,True,4,304,
Juan Carlos Loera de la Rosa,Juan Carlos,Loera de la Rosa,1969-04-27,1,True,6,304,
Jorge Alfredo Lozoya Santillán,Jorge Alfredo,Lozoya Santillán,1980-05-13,1,True,2,304,
Mely Romero Celis,Mely,Romero Celis,1977-09-12,2,True,6,305,
Aurora Ileana Cruz Alcaraz,Aurora Ileana,Cruz Alcaraz,0001-01-01,2,True,4,305,
Virgilio Mendoza Amezcua,Virgilio,Mendoza Amezcua,1972-01-21,1,True,2,305,
Leoncio Alfonso Morán Sánchez,Leoncio Alfonso,Morán Sánchez,1966-07-18,1,True,4,305,
Indira Vizcaíno Silva,Indira,Vizcaíno Silva,1987-01-14,2,True,4,305,
Evangelina Bañuelos Rodríguez,Evangelina,Bañuelos Rodríguez,1957-05-25,2,True,6,305,
Claudia Valeria Yáñez Centeno y Cabrera,Claudia Valeria,Yáñez Centeno y Cabrera,1959-05-02,2,True,4,305,
Irma Lilia Garzón Bernal,Irma Lilia,Garzón Bernal,1964-12-01,2,True,4,306,
Mario Moreno Arcos,Mario,Moreno Arcos,1958-10-15,1,True,4,306,
Pedro Segura Valladares,Pedro,Segura Valladares,1965-12-12,1,True,-1,306,
Ruth Zavaleta Salgado,Ruth,Zavaleta Salgado,1966-08-27,2,True,7,306,
Dolores Huerta Baldovinos,Dolores,Huerta Baldovinos,1973-10-17,2,True,6,306,
Ambrosio Guzmán Juárez,Ambrosio,Guzmán Juárez,0001-01-01,1,True,-1,306,
Manuel Negrete Arias,Manuel,Negrete Arias,1959-03-11,1,True,6,306,
Carlos Herrera Tello,Carlos,Herrera Tello,1971-02-17,1,True,6,307,
Juan Antonio Magaña de la Mora,Juan Antonio,Magaña de la Mora,1964-03-01,1,True,7,307,
Mercedes Calderón García,Mercedes,Calderón García,0001-01-01,2,True,6,307,
Hipólito Mora Chávez,Hipólito,Mora Chávez,1955-07-26,1,True,-1,307,
Cristobal Arias Solis,Cristobal,Arias Solis,1954-08-10,1,True,4,307,
Gloria Elizabeth Núñez Sánchez,Gloria Elizabeth,Núñez Sánchez,1984-03-20,2,True,7,308,
Miguel Ángel Navarro Quintero,Miguel Ángel,Navarro Quintero,1951-01-11,1,True,5,308,
Ignacio Flores Medina,Ignacio,Flores Medina,1981-10-06,1,True,2,308,
Natalia Rojas Iñiguez,Natalia,Rojas Iñiguez,0001-01-01,2,True,5,308,
Nayar Mayorquín Carrillo,Nayar,Mayorquín Carrillo,1973-10-17,1,True,7,308,
Bricet Gabriela Taizán López,Bricet Gabriela,Taizán López,0001-01-01,2,True,-1,308,
Águeda Galicia Jiménez,Águeda,Galicia Jiménez,1946-02-05,2,True,3,308,
Víctor Manuel Chávez Vázquez,Víctor Manuel,Chávez Vázquez,0001-01-01,1,True,3,308,
Fernando Larrazábal Bretón,Fernando,Larrazábal Bretón,1962-08-29,1,True,4,309,
Adrián de la Garza Santos,Adrián,de la Garza Santos,1971-09-17,1,True,6,309,
Clara Luz Flores Carrales,Clara Luz,Flores Carrales,1974-02-27,2,True,4,309,
Samuel Alejandro García Sepúlveda,Samuel Alejandro,García Sepúlveda,1987-12-28,1,True,7,309,
Carolina Garza Guerra,Carolina,Garza Guerra,0001-01-01,2,True,-1,309,
Virginia Daney Siller Tristán,Virginia Daney,Siller Tristán,0001-01-01,2,True,-1,309,
Emilio Jacques Rivera,Emilio,Jacques Rivera,1959-02-23,1,True,6,309,
Mauricio Kuri González,Mauricio,Kuri González,1969-05-09,1,True,4,310,
Abigail Arredondo Ramos,Abigail,Arredondo Ramos,1982-08-11,2,True,4,310,
Raquel Ruiz de Santiago Álvarez,Raquel,Ruiz de Santiago Álvarez,1981-04-10,2,True,-1,310,
Penélope Ramírez Manriquez,Penélope,Ramírez Manriquez,1971-07-18,2,True,6,310,
Katia Reséndiz Jaime,Katia,Reséndiz Jaime,1985-01-02,2,True,-1,310,
Beatriz León Sotelo,Beatriz,León Sotelo,0001-01-01,2,True,4,310,
Celia Maya García,Celia,Maya García,1949-12-04,2,True,7,310,
María de Jesús Ibarra Pérez,María de Jesús,Ibarra Pérez,1967-05-17,2,True,6,310,
Miguel Nava Alvarado,Miguel,Nava Alvarado,1971-08-17,1,True,7,310,
Juan Carlos Martínez Cecias Rodríguez,Juan Carlos Martínez,Cecias Rodríguez,1970-02-20,1,True,-1,310,
Octavio Pedroza Gaitán,Octavio,Pedroza Gaitán,1959-05-20,1,True,6,311,
Ricardo Gallardo Cardona,Ricardo,Gallardo Cardona,1980-11-10,1,True,4,311,
Adriana Marvelly Costanzo Rangel,Adriana Marvelly,Costanzo Rangel,0001-01-01,2,True,4,311,
Francisco Javier Rico Ávalos,Francisco Javier,Rico Ávalos,0001-01-01,1,True,7,311,
Mónica Liliana Rangel Martínez,Mónica Liliana,Rangel Martínez,1979-06-04,2,True,6,311,
Adrián Esper Cárdenas,Adrián,Esper Cárdenas,1977-10-09,1,True,4,311,
José Luis Romero Calzada,José Luis,Romero Calzada,0001-01-01,1,True,-1,311,
Juan Carlos Machinena Morales,Juan Carlos,Machinena Morales,0001-01-01,1,True,7,311,
